Epoch: 385, PSNR: 32.3418, best_epoch: 270, Best_PSNR: 32.8197
Epoch: 390, PSNR: 32.7318, best_epoch: 270, Best_PSNR: 32.8197
Epoch: 395, PSNR: 32.9996, best_epoch: 395, Best_PSNR: 32.9996
Epoch: 400, PSNR: 32.4369, best_epoch: 395, Best_PSNR: 32.9996
Epoch: 405, PSNR: 32.7292, best_epoch: 395, Best_PSNR: 32.9996
Epoch: 410, PSNR: 32.6600, best_epoch: 395, Best_PSNR: 32.9996
Epoch: 415, PSNR: 32.8093, best_epoch: 395, Best_PSNR: 32.9996
Epoch: 420, PSNR: 32.6032, best_epoch: 395, Best_PSNR: 32.9996
Epoch: 425, PSNR: 32.3383, best_epoch: 395, Best_PSNR: 32.9996
Epoch: 430, PSNR: 32.8988, best_epoch: 395, Best_PSNR: 32.9996
Epoch: 435, PSNR: 32.6963, best_epoch: 395, Best_PSNR: 32.9996
Epoch: 440, PSNR: 32.6472, best_epoch: 395, Best_PSNR: 32.9996
Epoch: 445, PSNR: 32.9716, best_epoch: 395, Best_PSNR: 32.9996
Epoch: 450, PSNR: 32.4490, best_epoch: 395, Best_PSNR: 32.9996
Epoch: 455, PSNR: 32.6602, best_epoch: 395, Best_PSNR: 32.9996
Epoch: 460, PSNR: 32.9105, best_epoch: 395, Best_PSNR: 32.9996
Epoch: 465, PSNR: 32.4408, best_epoch: 395, Best_PSNR: 32.9996
Epoch: 470, PSNR: 32.8441, best_epoch: 395, Best_PSNR: 32.9996
Epoch: 475, PSNR: 32.6724, best_epoch: 395, Best_PSNR: 32.9996
Epoch: 480, PSNR: 32.7215, best_epoch: 395, Best_PSNR: 32.9996
Epoch: 485, PSNR: 32.7620, best_epoch: 395, Best_PSNR: 32.9996
Epoch: 490, PSNR: 32.7430, best_epoch: 395, Best_PSNR: 32.9996
Epoch: 495, PSNR: 32.5667, best_epoch: 395, Best_PSNR: 32.9996
Epoch: 500, PSNR: 32.9241, best_epoch: 395, Best_PSNR: 32.9996
Epoch: 505, PSNR: 32.7636, best_epoch: 395, Best_PSNR: 32.9996
Epoch: 510, PSNR: 32.9652, best_epoch: 395, Best_PSNR: 32.9996
Epoch: 515, PSNR: 32.9896, best_epoch: 395, Best_PSNR: 32.9996
Epoch: 520, PSNR: 32.8105, best_epoch: 395, Best_PSNR: 32.9996
Epoch: 525, PSNR: 32.5028, best_epoch: 395, Best_PSNR: 32.9996
Epoch: 530, PSNR: 33.0762, best_epoch: 530, Best_PSNR: 33.0762
Epoch: 535, PSNR: 32.8839, best_epoch: 530, Best_PSNR: 33.0762
Epoch: 540, PSNR: 32.8204, best_epoch: 530, Best_PSNR: 33.0762
Epoch: 545, PSNR: 32.7904, best_epoch: 530, Best_PSNR: 33.0762
Epoch: 550, PSNR: 33.0458, best_epoch: 530, Best_PSNR: 33.0762
Epoch: 555, PSNR: 32.4139, best_epoch: 530, Best_PSNR: 33.0762
Epoch: 560, PSNR: 32.8280, best_epoch: 530, Best_PSNR: 33.0762
Epoch: 565, PSNR: 32.8278, best_epoch: 530, Best_PSNR: 33.0762
Epoch: 570, PSNR: 32.7748, best_epoch: 530, Best_PSNR: 33.0762
Epoch: 575, PSNR: 32.8543, best_epoch: 530, Best_PSNR: 33.0762
Epoch: 580, PSNR: 32.7345, best_epoch: 530, Best_PSNR: 33.0762
Epoch: 585, PSNR: 32.8684, best_epoch: 530, Best_PSNR: 33.0762
Epoch: 590, PSNR: 32.7181, best_epoch: 530, Best_PSNR: 33.0762
Epoch: 595, PSNR: 32.7610, best_epoch: 530, Best_PSNR: 33.0762
Epoch: 600, PSNR: 32.8686, best_epoch: 530, Best_PSNR: 33.0762
Epoch: 605, PSNR: 32.8743, best_epoch: 530, Best_PSNR: 33.0762
Epoch: 610, PSNR: 32.8723, best_epoch: 530, Best_PSNR: 33.0762
Epoch: 615, PSNR: 32.7856, best_epoch: 530, Best_PSNR: 33.0762
Epoch: 620, PSNR: 32.9544, best_epoch: 530, Best_PSNR: 33.0762
Epoch: 625, PSNR: 32.8068, best_epoch: 530, Best_PSNR: 33.0762
Epoch: 630, PSNR: 32.9853, best_epoch: 530, Best_PSNR: 33.0762
Epoch: 635, PSNR: 32.9143, best_epoch: 530, Best_PSNR: 33.0762
Epoch: 640, PSNR: 33.0378, best_epoch: 530, Best_PSNR: 33.0762
Epoch: 645, PSNR: 33.0267, best_epoch: 530, Best_PSNR: 33.0762
Epoch: 650, PSNR: 32.8904, best_epoch: 530, Best_PSNR: 33.0762
Epoch: 655, PSNR: 32.9950, best_epoch: 530, Best_PSNR: 33.0762
Epoch: 660, PSNR: 32.8970, best_epoch: 530, Best_PSNR: 33.0762
Epoch: 665, PSNR: 32.8287, best_epoch: 530, Best_PSNR: 33.0762
Epoch: 670, PSNR: 32.9576, best_epoch: 530, Best_PSNR: 33.0762
Epoch: 675, PSNR: 32.8720, best_epoch: 530, Best_PSNR: 33.0762
Epoch: 680, PSNR: 32.8257, best_epoch: 530, Best_PSNR: 33.0762
Epoch: 685, PSNR: 32.9057, best_epoch: 530, Best_PSNR: 33.0762
Epoch: 690, PSNR: 33.0559, best_epoch: 530, Best_PSNR: 33.0762
Epoch: 695, PSNR: 33.3537, best_epoch: 695, Best_PSNR: 33.3537
Epoch: 700, PSNR: 33.1605, best_epoch: 695, Best_PSNR: 33.3537
Epoch: 705, PSNR: 32.9276, best_epoch: 695, Best_PSNR: 33.3537
